"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"09 Neuhausen - Nymphenburg",17.9,169,945,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"10 Moosach",26.3,138,524,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"11 Milbertshofen - Am Hart",35.9,239,665,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"12 Schwabing - Freimann",22.3,255,1142,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"13 Bogenhausen",20.8,228,1096,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"14 Berg am Laim",27.4,69,252,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"15 Trudering - Riem",28.2,243,861,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"16 Ramersdorf - Perlach",32.5,457,1408,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"17 Obergiesing - Fasangarten",24.1,71,294,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"18 Untergiesing - Harlaching",17.9,98,548,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",17.2,162,941,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2020,"20 Hadern",26.1,146,560,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
